$ps ax

  PID TTY      STAT   TIME COMMAND
 1214 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
 1216 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
 1217 tty2     Sl+    0:03 /usr/lib/gnome-settings-daemon/gsd-sharing
 1218 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
 1227 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-sound
 1232 tty2     Sl+    0:04 /usr/lib/gnome-settings-daemon/gsd-xsettings
 1233 tty2     Sl+    0:01 /usr/lib/gnome-settings-daemon/gsd-wacom
 1245 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
 1246 tty2     Sl+    0:01 /usr/lib/gnome-settings-daemon/gsd-clipboard
 1247 tty2     Sl+    0:02 /usr/lib/gnome-settings-daemon/gsd-color
 1249 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-datetime
 1250 tty2     Sl+    0:07 /usr/lib/gnome-settings-daemon/gsd-housekeeping
 1252 tty2     Sl+    0:01 /usr/lib/gnome-settings-daemon/gsd-keyboard
 1255 tty2     Sl+    0:02 /usr/lib/gnome-settings-daemon/gsd-media-keys
 1256 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-mouse
 1275 tty2     Sl+    0:00 /usr/lib/gnome-settings-daemon/gsd-printer
 1281 ?        Ssl    0:00 /usr/lib/evolution/evolution-calendar-factory
 1296 ?        Ssl    0:00 /usr/lib/evolution/evolution-addressbook-factory
 1308 tty2     Sl     1:07 /usr/lib/ibus/ibus-engine-simple
 1361 tty2     Sl+    0:00 /usr/lib/evolution/evolution-data-server/evolution-alarm-notify
 1362 ?        Ssl    0:00 /usr/lib/colord/colord
 1363 tty2     Sl+    0:11 /usr/bin/gnome-software --gapplication-service
 1368 tty2     Sl+    0:00 /usr/lib/gnome-disk-utility/gsd-disk-utility-notify
 1369 tty2     SNl+   0:00 /usr/lib/tracker/tracker-miner-fs
